Date,Currency,Amount,Fee Deducted,Amount - Fee,Address,Status
2018-01-13 18:11:48,ETH,35.00000000,0.01000000,34.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x93f9e4da2f01529ea6f5250fd99c898210e6b9874f94acc72e72d2f4ddf99cd8
2018-01-11 04:23:10,ETH,40.00000000,0.01000000,39.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x65374d73b35dd1974f47e7a458b3277e6d5786956b19e5ef51b78854e9faef36
2018-01-10 03:32:16,ETH,35.00000000,0.01000000,34.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x36448245604e151fc4ff0e6950362ccc8667654519b3ddcdf94ea03b2c9d5ba1
2018-01-08 01:07:52,ETH,40.00000000,0.01000000,39.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x9ca603d826942e05ed536827adea00b16d4ecf37661e47634db82ccbb24b3174
2018-01-06 16:12:36,ETH,49.00000000,0.01000000,48.99,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x34b25cca734c8d2033ad2c6c7d60f295bb57a8069e23f1b70b0cb57523b09f77
2018-01-04 15:12:48,ETH,50.00000000,0.00500000,49.995,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xa1556482b45483cb7ef4c7a198d56b567b582c0d8e81c4185655a3d23483613c
2017-12-15 22:12:49,ETH,70.00000000,0.00500000,69.995,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0x3636e535da123e5aa5c89310aedca5aca0e11d75916a6bfdbe2873731af872b8
2017-12-13 16:05:46,ETH,10.00000000,0.00500000,9.995,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xce78497ba8bfad4a43efb5fa31c398f77d8372c476ac75e7df09e0922bf4e54b
2017-12-13 16:02:38,ETH,60.00000000,0.00500000,59.995,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xaba6d3a54b633cbe479203719dc05a248d0a7724da474ade3f95833ecc3d817c
2017-11-22 13:16:47,ETH,99.00000000,0.00500000,98.995,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,COMPLETE: 0xe78d89b2bee11ce79aee592e3bc6cc0574eddfe41b2c21864bf6810d3f8de587
